layer,object,n_sigmas,sigma1,er99,er999
7,o_proj_full,4096,4.607526779174805,3301,3912
7,q_proj_full,4096,5.0541486740112305,3385,3945
7,v_proj_full,256,0.8462027907371521,247,255
8,G_stacked,4096,3.450768232345581,3420,3957
8,K_stacked,256,1.1316248178482056,235,252
8,O_stacked,4096,3.5464680194854736,3222,3882
8,QK_stacked_key,256,4.495443344116211,221,246
8,QK_stacked_query,4096,2.6456148624420166,2891,3651
8,Q_stacked,4096,3.256246328353882,3214,3860
8,VO_stacked_read,256,3.1432547569274902,245,255
8,VO_stacked_write,4096,3.427767753601074,3180,3852
8,V_stacked,256,1.042649269104004,248,255
8,gate_proj_full,4096,7.213924884796143,3442,3964
8,k_proj_full,256,2.2456343173980713,236,252
8,o_proj_full,4096,4.191457271575928,3282,3906
8,q_proj_full,4096,5.193580150604248,3307,3904
8,v_proj_full,256,0.804374635219574,248,255
9,G_stacked,4096,3.535139799118042,3410,3955
9,K_stacked,256,1.2003161907196045,233,251
9,O_stacked,4096,3.6986374855041504,3145,3830
9,QK_stacked_key,256,4.579678535461426,219,248
9,QK_stacked_query,4096,2.8291265964508057,2695,3606
9,Q_stacked,4096,2.9929635524749756,3278,3908
9,VO_stacked_read,256,3.4449024200439453,246,255
9,VO_stacked_write,4096,3.5487661361694336,3188,3861
9,V_stacked,256,1.0800796747207642,248,255
9,gate_proj_full,4096,8.083073616027832,3435,3962
9,k_proj_full,256,1.750641942024231,237,252
9,o_proj_full,4096,3.918759346008301,3276,3906
9,q_proj_full,4096,4.5406646728515625,3321,3925
9,v_proj_full,256,0.8763954639434814,248,255
10,G_stacked,4096,3.488314151763916,3453,3966
10,K_stacked,256,1.1498217582702637,239,252
10,O_stacked,4096,3.4418134689331055,3244,3843
10,QK_stacked_key,256,4.477177143096924,228,250
10,QK_stacked_query,4096,2.5815207958221436,3056,3767
10,Q_stacked,4096,2.9822325706481934,3346,3930
10,VO_stacked_read,256,3.3499529361724854,247,255
10,VO_stacked_write,4096,3.1768720149993896,3324,3897
10,V_stacked,256,1.0110832452774048,248,254
10,gate_proj_full,4096,8.179479598999023,3480,3973
10,k_proj_full,256,1.5284309387207031,239,252
10,o_proj_full,4096,3.3207149505615234,3428,3948
10,q_proj_full,4096,4.7033610343933105,3378,3941
10,v_proj_full,256,0.8634775280952454,248,254
11,G_stacked,4096,4.475057601928711,3456,3963
11,K_stacked,256,1.1844264268875122,244,253
11,O_stacked,4096,4.370548725128174,3343,3914
11,QK_stacked_key,256,4.666540145874023,244,254
11,QK_stacked_query,4096,2.588228940963745,3360,3922
11,Q_stacked,4096,3.186319589614868,3428,3959
11,VO_stacked_read,256,3.1794593334198,244,254
11,VO_stacked_write,4096,4.148520469665527,3291,3873
11,V_stacked,256,1.0390558242797852,247,255
11,gate_proj_full,4096,10.566278457641602,3476,3970
11,k_proj_full,256,1.874916911125183,245,253
11,o_proj_full,4096,4.621137619018555,3394,3932
11,q_proj_full,4096,5.269158840179443,3481,3975
11,v_proj_full,256,0.9438416957855225,247,255
12,G_stacked,4096,3.11281681060791,3471,3971
12,K_stacked,256,1.14400315284729,238,252
12,O_stacked,4096,3.303694725036621,3228,3838
12,QK_stacked_key,256,4.5115132331848145,228,250
12,QK_stacked_query,4096,2.8231449127197266,2984,3724
12,Q_stacked,4096,2.982343912124634,3310,3917
12,VO_stacked_read,256,3.319455623626709,244,254
12,VO_stacked_write,4096,2.9519619941711426,3227,3844
12,V_stacked,256,1.00808846950531,248,254
12,gate_proj_full,4096,7.616809368133545,3490,3975
12,k_proj_full,256,1.8886466026306152,239,252
12,o_proj_full,4096,3.328751564025879,3399,3932
12,q_proj_full,4096,5.091976642608643,3342,3927
12,v_proj_full,256,0.8311922550201416,248,254
13,G_stacked,4096,2.7995240688323975,3493,3978
13,K_stacked,256,1.1973927021026611,234,251
13,O_stacked,4096,2.778438091278076,3161,3805
13,QK_stacked_key,256,4.622413158416748,223,249
13,QK_stacked_query,4096,3.0225188732147217,2914,3697
13,Q_stacked,4096,3.2541375160217285,3305,3920
13,VO_stacked_read,256,3.422818660736084,248,255
13,VO_stacked_write,4096,2.7259812355041504,3385,3925
13,V_stacked,256,1.0354914665222168,248,254
13,gate_proj_full,4096,8.290831565856934,3498,3979
13,k_proj_full,256,1.7812646627426147,234,251
13,o_proj_full,4096,3.46995210647583,3425,3953
13,q_proj_full,4096,6.2074432373046875,3327,3929
13,v_proj_full,256,0.786912739276886,248,253
14,G_stacked,4096,3.262178659439087,3449,3965
14,K_stacked,256,1.2337663173675537,234,251
14,O_stacked,4096,2.949782609939575,3242,3868
14,QK_stacked_key,256,4.788146018981934,225,249
14,QK_stacked_query,4096,2.7604925632476807,2991,3717
14,Q_stacked,4096,3.0285449028015137,3271,3905
14,VO_stacked_read,256,3.640957832336426,246,255
14,VO_stacked_write,4096,2.825618267059326,3290,3892
14,V_stacked,256,1.0722771883010864,247,254
14,gate_proj_full,4096,8.38148021697998,3455,3967
14,k_proj_full,256,1.7873821258544922,234,251
14,o_proj_full,4096,2.9124016761779785,3361,3931
14,q_proj_full,4096,5.118309020996094,3341,3931
14,v_proj_full,256,0.9053333401679993,247,254
15,G_stacked,4096,4.122414588928223,3354,3929
15,K_stacked,256,1.1978833675384521,245,253
15,O_stacked,4096,4.0359673500061035,3387,3928
15,QK_stacked_key,256,4.365717887878418,245,254
15,QK_stacked_query,4096,2.7482731342315674,3384,3930
15,Q_stacked,4096,3.372633695602417,3376,3941
15,VO_stacked_read,256,3.709355115890503,243,253
15,VO_stacked_write,4096,3.8121137619018555,3323,3883
15,V_stacked,256,1.173752784729004,246,254
15,gate_proj_full,4096,11.904361724853516,3415,3949
15,k_proj_full,256,1.3823978900909424,245,253
15,o_proj_full,4096,3.998504400253296,3390,3929
15,q_proj_full,4096,6.09263277053833,3446,3962
15,v_proj_full,256,1.1588112115859985,246,254
16,G_stacked,4096,2.813521146774292,3443,3963
16,K_stacked,256,1.142440676689148,226,249
16,O_stacked,4096,2.7161672115325928,3184,3846
16,QK_stacked_key,256,4.450587749481201,215,244
16,QK_stacked_query,4096,2.770659923553467,2829,3583
16,Q_stacked,4096,2.9591150283813477,3210,3878
16,VO_stacked_read,256,3.750410318374634,246,255
16,VO_stacked_write,4096,2.7494070529937744,3245,3871
16,V_stacked,256,1.0535064935684204,247,254
16,gate_proj_full,4096,7.5862717628479,3454,3966
16,k_proj_full,256,1.6937975883483887,227,249
16,o_proj_full,4096,3.193462371826172,3318,3914
16,q_proj_full,4096,5.5620317459106445,3275,3910
16,v_proj_full,256,0.9606889486312866,247,254
17,G_stacked,4096,2.932868719100952,3463,3967
17,K_stacked,256,1.171499490737915,226,250
17,O_stacked,4096,2.5942130088806152,3125,3834
17,QK_stacked_key,256,4.468276500701904,215,245
17,QK_stacked_query,4096,2.9303972721099854,2839,3581
17,Q_stacked,4096,3.107257843017578,3240,3895
17,VO_stacked_read,256,3.661825180053711,245,254
17,VO_stacked_write,4096,2.434469223022461,3337,3894
17,V_stacked,256,1.0085753202438354,246,252
17,gate_proj_full,4096,8.982416152954102,3461,3967
17,k_proj_full,256,1.7391639947891235,226,250
17,o_proj_full,4096,3.507753610610962,3372,3934
17,q_proj_full,4096,5.934617042541504,3261,3904
17,v_proj_full,256,0.8401675224304199,246,252
18,G_stacked,4096,3.214491367340088,3412,3950
18,K_stacked,256,1.1869314908981323,220,247
18,O_stacked,4096,2.38647198677063,3118,3784
18,QK_stacked_key,256,4.634635925292969,207,240
18,QK_stacked_query,4096,3.0267488956451416,2664,3477
18,Q_stacked,4096,3.0175344944000244,3212,3882
18,VO_stacked_read,256,3.538759231567383,245,254
18,VO_stacked_write,4096,2.336913585662842,3261,3866
18,V_stacked,256,1.082454800605774,246,254
18,gate_proj_full,4096,8.890222549438477,3415,3950
18,k_proj_full,256,1.8533543348312378,219,247
18,o_proj_full,4096,2.9849984645843506,3317,3910
18,q_proj_full,4096,6.164050579071045,3231,3892
18,v_proj_full,256,0.901597797870636,247,254
19,G_stacked,4096,3.1962878704071045,3368,3924
19,K_stacked,256,1.1392744779586792,244,253
19,O_stacked,4096,2.997309446334839,3275,3886
19,QK_stacked_key,256,4.448448181152344,241,253
19,QK_stacked_query,4096,3.0650503635406494,3164,3850
19,Q_stacked,4096,3.5009143352508545,3305,3909
19,VO_stacked_read,256,3.8177835941314697,244,254
19,VO_stacked_write,4096,2.837024688720703,3237,3859
19,V_stacked,256,1.0376237630844116,247,255
19,gate_proj_full,4096,9.226179122924805,3390,3929
19,k_proj_full,256,1.4132710695266724,245,253
19,o_proj_full,4096,2.8097617626190186,3300,3894
19,q_proj_full,4096,6.196422576904297,3321,3916
19,v_proj_full,256,0.934230625629425,246,255
20,G_stacked,4096,2.8548338413238525,3386,3941
20,K_stacked,256,1.2498717308044434,217,245
20,O_stacked,4096,2.503756046295166,3175,3848
20,QK_stacked_key,256,4.792189121246338,207,239
20,QK_stacked_query,4096,3.228140115737915,2669,3421
20,Q_stacked,4096,3.271361827850342,3093,3838
20,VO_stacked_read,256,3.8949995040893555,245,254
20,VO_stacked_write,4096,2.684185028076172,3244,3866
20,V_stacked,256,1.0770270824432373,245,253
20,gate_proj_full,4096,8.286491394042969,3400,3945
20,k_proj_full,256,2.04490065574646,217,246
20,o_proj_full,4096,3.1335830688476562,3287,3901
20,q_proj_full,4096,6.554129123687744,3098,3836
20,v_proj_full,256,1.0373902320861816,245,253
21,G_stacked,4096,3.2160017490386963,3345,3921
21,K_stacked,256,1.2497574090957642,223,247
21,O_stacked,4096,2.0743930339813232,3047,3781
21,QK_stacked_key,256,4.935417652130127,216,244
21,QK_stacked_query,4096,3.199664831161499,2764,3517
21,Q_stacked,4096,3.1380040645599365,3127,3848
21,VO_stacked_read,256,3.944932460784912,246,254
21,VO_stacked_write,4096,2.347961187362671,3219,3853
21,V_stacked,256,1.118798017501831,247,254
21,gate_proj_full,4096,9.335052490234375,3343,3920
21,k_proj_full,256,2.3203704357147217,225,247
21,o_proj_full,4096,2.916516065597534,3247,3880
21,q_proj_full,4096,6.046702861785889,3133,3848
21,v_proj_full,256,1.1406034231185913,247,254
22,G_stacked,4096,3.348453998565674,3362,3925
22,K_stacked,256,1.1842111349105835,214,246
22,O_stacked,4096,2.506009340286255,3290,3888
22,QK_stacked_key,256,4.6974263191223145,200,236
22,QK_stacked_query,4096,3.430107355117798,2599,3397
22,Q_stacked,4096,3.266451358795166,3137,3858
22,VO_stacked_read,256,3.7415647506713867,247,254
22,VO_stacked_write,4096,2.4568939208984375,3289,3875
22,V_stacked,256,1.0582470893859863,248,255
22,gate_proj_full,4096,10.71900749206543,3356,3922
22,k_proj_full,256,2.137515068054199,214,246
22,o_proj_full,4096,2.526162624359131,3317,3894
22,q_proj_full,4096,6.965179920196533,3141,3859
22,v_proj_full,256,0.9505529403686523,248,255
23,G_stacked,4096,3.6138529777526855,3242,3856
23,K_stacked,256,1.3063149452209473,241,253
23,O_stacked,4096,2.9582595825195312,3122,3808
23,QK_stacked_key,256,5.145983695983887,242,254
23,QK_stacked_query,4096,3.599142551422119,3144,3831
23,Q_stacked,4096,3.556177854537964,3194,3857
23,VO_stacked_read,256,4.262000560760498,238,254
23,VO_stacked_write,4096,2.6813204288482666,3123,3792
23,V_stacked,256,1.190634846687317,237,253
23,gate_proj_full,4096,12.42444896697998,3240,3858
23,k_proj_full,256,1.9472483396530151,243,253
23,o_proj_full,4096,2.923008918762207,3198,3846
23,q_proj_full,4096,6.557682991027832,3202,3861
23,v_proj_full,256,1.505461573600769,239,254
24,G_stacked,4096,2.881071090698242,3373,3936
24,K_stacked,256,1.2397041320800781,221,247
24,O_stacked,4096,2.182976722717285,3149,3847
24,QK_stacked_key,256,4.716747283935547,213,241
24,QK_stacked_query,4096,3.304032325744629,2811,3517
24,Q_stacked,4096,3.2824347019195557,3150,3856
24,VO_stacked_read,256,3.6893386840820312,244,254
24,VO_stacked_write,4096,2.169563055038452,3324,3888
24,V_stacked,256,1.0326862335205078,246,252
24,gate_proj_full,4096,9.628439903259277,3402,3945
24,k_proj_full,256,1.9665635824203491,221,247
24,o_proj_full,4096,3.0406551361083984,3359,3925
24,q_proj_full,4096,6.74511194229126,3165,3864
24,v_proj_full,256,1.030318260192871,246,252
25,G_stacked,4096,3.0988898277282715,3375,3937
25,K_stacked,256,1.265745997428894,216,245
25,O_stacked,4096,2.149200439453125,3066,3728
25,QK_stacked_key,256,4.984425067901611,206,238
25,QK_stacked_query,4096,3.397920608520508,2700,3450
25,Q_stacked,4096,3.152379274368286,3143,3855
25,VO_stacked_read,256,3.7540030479431152,245,254
25,VO_stacked_write,4096,2.276050567626953,3223,3863
25,V_stacked,256,1.021958827972412,247,254
25,gate_proj_full,4096,10.245884895324707,3372,3934
25,k_proj_full,256,2.3025970458984375,216,245
25,o_proj_full,4096,3.4150543212890625,3295,3893
25,q_proj_full,4096,6.641121864318848,3147,3857
25,v_proj_full,256,1.1006735563278198,249,255
26,G_stacked,4096,3.0810649394989014,3400,3935
26,K_stacked,256,1.2302500009536743,215,244
26,O_stacked,4096,2.3657209873199463,3281,3890
26,QK_stacked_key,256,4.776203632354736,201,235
26,QK_stacked_query,4096,3.3431763648986816,2518,3337
26,Q_stacked,4096,3.545497179031372,3045,3808
26,VO_stacked_read,256,3.852809190750122,245,255
26,VO_stacked_write,4096,2.1717183589935303,3227,3865
26,V_stacked,256,1.0608046054840088,246,254
26,gate_proj_full,4096,9.040687561035156,3404,3939
26,k_proj_full,256,1.869654893875122,215,244
26,o_proj_full,4096,2.188730478286743,3299,3901
26,q_proj_full,4096,6.363142490386963,3075,3819
26,v_proj_full,256,1.0030968189239502,246,254
27,G_stacked,4096,3.655550718307495,3340,3921
27,K_stacked,256,1.3079670667648315,242,252
27,O_stacked,4096,3.0585691928863525,3294,3889
27,QK_stacked_key,256,4.901033878326416,243,253
27,QK_stacked_query,4096,3.2845730781555176,3251,3872
27,Q_stacked,4096,3.4018337726593018,3221,3857
27,VO_stacked_read,256,3.5962038040161133,245,254
27,VO_stacked_write,4096,3.2540228366851807,3308,3888
27,V_stacked,256,1.1477775573730469,246,254
27,gate_proj_full,4096,12.037402153015137,3366,3929
27,k_proj_full,256,1.7637379169464111,242,252
27,o_proj_full,4096,3.1266167163848877,3325,3901
27,q_proj_full,4096,6.104443073272705,3234,3862
27,v_proj_full,256,1.1143689155578613,246,254
28,G_stacked,4096,3.076164722442627,3433,3958
28,K_stacked,256,1.267048716545105,223,248
28,O_stacked,4096,2.2438266277313232,3177,3853
28,QK_stacked_key,256,4.968990802764893,220,245
28,QK_stacked_query,4096,3.506438970565796,2932,3615
28,Q_stacked,4096,3.375629186630249,3196,3865
28,VO_stacked_read,256,3.62432599067688,247,254
28,VO_stacked_write,4096,2.5138635635375977,3325,3901
28,V_stacked,256,1.066807508468628,247,253
28,gate_proj_full,4096,10.11609935760498,3440,3962
28,k_proj_full,256,2.1157896518707275,224,248
28,o_proj_full,4096,3.760470151901245,3351,3918
28,q_proj_full,4096,7.076985836029053,3199,3869
28,v_proj_full,256,0.9795984625816345,247,253
29,G_stacked,4096,3.147477388381958,3385,3943
29,K_stacked,256,1.2165173292160034,226,248
29,O_stacked,4096,2.458621025085449,3211,3864
29,QK_stacked_key,256,4.822789192199707,222,245
29,QK_stacked_query,4096,3.3192291259765625,2942,3611
29,Q_stacked,4096,3.290322780609131,3173,3856
29,VO_stacked_read,256,3.8234148025512695,246,255
29,VO_stacked_write,4096,2.454012870788574,3215,3845
29,V_stacked,256,1.1011139154434204,246,254
29,gate_proj_full,4096,9.486830711364746,3411,3948
29,k_proj_full,256,2.226452589035034,226,248
29,o_proj_full,4096,3.3869128227233887,3346,3919
29,q_proj_full,4096,6.890135765075684,3181,3854
29,v_proj_full,256,1.3039556741714478,248,255
30,G_stacked,4096,3.1764471530914307,3320,3889
30,K_stacked,256,1.1799148321151733,226,249
30,O_stacked,4096,2.5911171436309814,3260,3881
30,QK_stacked_key,256,4.62060022354126,222,247
30,QK_stacked_query,4096,2.896707534790039,2890,3588
30,Q_stacked,4096,2.9624128341674805,3149,3841
30,VO_stacked_read,256,3.77823805809021,245,255
30,VO_stacked_write,4096,2.5701193809509277,3169,3831
30,V_stacked,256,1.1328837871551514,248,255
30,gate_proj_full,4096,9.54650592803955,3305,3885
30,k_proj_full,256,2.0379905700683594,226,249
30,o_proj_full,4096,2.8819150924682617,3307,3898
30,q_proj_full,4096,6.252861022949219,3159,3843
30,v_proj_full,256,1.1138026714324951,249,255
31,G_stacked,4096,3.1483004093170166,3289,3884
31,K_stacked,256,1.1146059036254883,246,254
31,O_stacked,4096,2.7397031784057617,3212,3848
