layer,matrix,shape,rms,ratio_to_target,head_rms_min,head_rms_max,head_max_over_min,row_norm_cv
0,self_attn.q_proj,"(4096, 4096)",0.02603731118142605,3.332775831222534,0.017383674159646034,0.029212981462478638,1.6804837224971014,0.22742503881454468
0,self_attn.k_proj,"(1024, 4096)",0.02879791520535946,3.6861331462860107,0.02674032747745514,0.029779110103845596,1.1136404417243007,0.1486588567495346
0,self_attn.v_proj,"(1024, 4096)",0.02544056810438633,3.25639271736145,0.023682214319705963,0.0276216808706522,1.1663470525924684,0.07407695800065994
0,self_attn.o_proj,"(4096, 4096)",0.024729732424020767,3.165405750274658,0.019864190369844437,0.03133595734834671,1.5775099193530389,0.120879627764225
0,mlp.gate_proj,"(12288, 4096)",0.025479523465037346,3.2613790035247803,nan,nan,nan,0.0952426940202713
0,mlp.up_proj,"(12288, 4096)",0.024018941447138786,3.0744245052337646,nan,nan,nan,0.06099413335323334
0,mlp.down_proj,"(4096, 12288)",0.026507508009672165,3.392961025238037,nan,nan,nan,0.12449197471141815
1,self_attn.q_proj,"(4096, 4096)",0.02298823371529579,2.9424939155578613,0.019375259056687355,0.025382062420248985,1.3100244154665064,0.15734194219112396
1,self_attn.k_proj,"(1024, 4096)",0.0251451563090086,3.2185800075531006,0.023195134475827217,0.026731889694929123,1.1524783235375389,0.1610039621591568
1,self_attn.v_proj,"(1024, 4096)",0.026797432452440262,3.4300713539123535,0.021571921184659004,0.030694637447595596,1.4228977189766605,0.113956980407238
1,self_attn.o_proj,"(4096, 4096)",0.025242550298571587,3.231046438217163,0.019495302811264992,0.029454723000526428,1.510862554210062,0.09950173646211624
1,mlp.gate_proj,"(12288, 4096)",0.021278634667396545,2.723665237426758,nan,nan,nan,0.8554465174674988
1,mlp.up_proj,"(12288, 4096)",0.014663716778159142,1.8769557476043701,nan,nan,nan,0.9682066440582275
1,mlp.down_proj,"(4096, 12288)",0.016829200088977814,2.15413761138916,nan,nan,nan,0.1743001490831375
2,self_attn.q_proj,"(4096, 4096)",0.024976149201393127,3.1969470977783203,0.020077122375369072,0.027095425873994827,1.3495672022817333,0.1658780425786972
2,self_attn.k_proj,"(1024, 4096)",0.026452941820025444,3.385976552963257,0.023179732263088226,0.027440043166279793,1.1837946553841674,0.1739834100008011
2,self_attn.v_proj,"(1024, 4096)",0.027560928836464882,3.527798891067505,0.024875370785593987,0.03048855997622013,1.2256524832939133,0.07549239695072174
2,self_attn.o_proj,"(4096, 4096)",0.025638829916715622,3.2817702293395996,0.02188035659492016,0.028883369639515877,1.320059365313158,0.08470902591943741
2,mlp.gate_proj,"(12288, 4096)",0.017867423593997955,2.2870302200317383,nan,nan,nan,0.9602926969528198
2,mlp.up_proj,"(12288, 4096)",0.016070520505309105,2.0570266246795654,nan,nan,nan,1.0720481872558594
2,mlp.down_proj,"(4096, 12288)",0.016467059031128883,2.107783555984497,nan,nan,nan,0.13348153233528137
