layer,object,n_sigmas,sigma1,er99,er999
10,V_stacked,1024,1.4510067701339722,973,1017
10,O_stacked,4096,2.654770851135254,2855,3503
10,VO_stacked_write,4096,2.466815233230591,2806,3471
10,VO_stacked_read,1024,2.1957590579986572,955,1013
11,q_proj_full,4096,2.9100232124328613,2792,3456
11,k_proj_full,1024,1.1548177003860474,927,1005
11,v_proj_full,1024,0.7291775941848755,956,1015
11,o_proj_full,4096,6.704926013946533,2942,3547
11,Q_stacked,4096,3.015916585922241,2777,3447
11,K_stacked,1024,1.7004663944244385,926,1006
11,V_stacked,1024,1.5939120054244995,962,1016
11,O_stacked,4096,2.4643678665161133,2909,3528
11,VO_stacked_write,4096,2.285137414932251,2874,3502
11,VO_stacked_read,1024,2.685943841934204,950,1014
12,q_proj_full,4096,3.2242414951324463,2746,3426
12,k_proj_full,1024,1.2869541645050049,928,1008
12,v_proj_full,1024,0.7984536290168762,956,1015
12,o_proj_full,4096,6.621279716491699,2912,3533
12,Q_stacked,4096,2.9181432723999023,2722,3410
12,K_stacked,1024,1.7073925733566284,927,1007
12,V_stacked,1024,1.578814148902893,960,1016
12,O_stacked,4096,2.273059606552124,2872,3508
12,VO_stacked_write,4096,2.17533016204834,2825,3470
12,VO_stacked_read,1024,2.460282802581787,947,1012
13,q_proj_full,4096,3.6017072200775146,2644,3366
13,k_proj_full,1024,1.6558486223220825,902,997
13,v_proj_full,1024,1.030944585800171,938,1012
13,o_proj_full,4096,6.465938091278076,2906,3527
13,Q_stacked,4096,3.0897064208984375,2610,3343
13,K_stacked,1024,1.9702856540679932,894,993
13,V_stacked,1024,1.9241859912872314,943,1013
13,O_stacked,4096,2.2200725078582764,2886,3515
13,VO_stacked_write,4096,2.1684420108795166,2843,3487
13,VO_stacked_read,1024,3.4974992275238037,929,1010
14,q_proj_full,4096,4.16534948348999,2697,3398
14,k_proj_full,1024,1.7650465965270996,917,1004
14,v_proj_full,1024,1.1376514434814453,948,1013
14,o_proj_full,4096,6.2487897872924805,2928,3539
14,Q_stacked,4096,2.925300359725952,2676,3384
14,K_stacked,1024,1.656268835067749,910,1002
14,V_stacked,1024,1.631658911705017,946,1013
14,O_stacked,4096,2.328364372253418,2894,3518
14,VO_stacked_write,4096,2.4330921173095703,2855,3492
14,VO_stacked_read,1024,2.6113364696502686,932,1010
15,q_proj_full,4096,5.0679144859313965,2446,3236
15,k_proj_full,1024,2.2556087970733643,881,989
15,v_proj_full,1024,1.4292545318603516,934,1011
