layer,head,openness,switchiness,frac_closed,ch_lo_frac,ch_hi_frac,min_ch_mean,n_ch_mean_lt_01
18,3,0.1896,0.0727,0.0896,0.1908,0.0,0.1049,0
18,4,0.1831,0.1025,0.2287,0.2917,0.0,0.113,0
18,5,0.2106,0.0704,0.043,0.1319,0.0,0.0765,2
18,6,0.1904,0.0713,0.0918,0.2497,0.0,0.0688,4
18,7,0.1632,0.0609,0.109,0.2753,0.0,0.0909,3
18,8,0.2731,0.0773,0.0249,0.0824,0.0,0.1274,0
18,9,0.2181,0.0742,0.0365,0.1125,0.0,0.1216,0
18,10,0.3596,0.0761,0.0008,0.0267,0.0,0.1315,0
18,11,0.2155,0.0514,0.0187,0.2062,0.0,0.0077,7
18,12,0.3809,0.0849,0.0035,0.0406,0.0005,0.169,0
18,13,0.2133,0.0917,0.0814,0.1618,0.0,0.1309,0
18,14,0.2785,0.0735,0.0088,0.1101,0.0006,0.1229,0
18,15,0.2083,0.0778,0.0717,0.1751,0.0,0.083,1
18,16,0.1625,0.0545,0.0995,0.2936,0.0,0.0348,6
18,17,0.2133,0.0646,0.0039,0.1471,0.0001,0.018,7
18,18,0.2292,0.0768,0.023,0.1587,0.0002,0.0705,6
18,19,0.3411,0.1082,0.0,0.0378,0.0017,0.0681,1
18,20,0.2012,0.1109,0.152,0.2664,0.0001,0.0403,6
18,21,0.2595,0.0532,0.0011,0.1316,0.0,0.0389,10
18,22,0.3118,0.1228,0.0132,0.1052,0.0027,0.0706,3
18,23,0.1867,0.1065,0.1611,0.2876,0.0,0.0353,9
18,24,0.1174,0.0282,0.2843,0.5532,0.0003,0.0148,43
18,25,0.1647,0.1036,0.2905,0.3967,0.0002,0.0288,9
18,26,0.179,0.0283,0.0053,0.4323,0.0,0.0157,44
18,27,0.1849,0.0548,0.0396,0.2927,0.0002,0.0467,17
18,28,0.1892,0.1066,0.1389,0.3154,0.0005,0.0587,13
18,29,0.3683,0.0457,0.0,0.0079,0.0,0.0755,1
18,30,0.1845,0.0766,0.0996,0.2367,0.0,0.0607,5
18,31,0.1612,0.0704,0.135,0.3724,0.0005,0.0242,17
19,0,0.1455,0.0499,0.1781,0.4239,0.0001,0.0422,35
19,1,0.2322,0.0837,0.0327,0.1636,0.0,0.05,5
19,2,0.1194,0.0338,0.2914,0.5001,0.0,0.0319,48
19,3,0.192,0.1055,0.1379,0.2264,0.0007,0.0652,1
19,4,0.2514,0.078,0.0118,0.0932,0.0,0.0942,2
19,5,0.1973,0.055,0.0107,0.2501,0.0,0.0371,12
19,6,0.0649,0.0107,0.9971,0.8139,0.0,0.0106,106
19,7,0.2441,0.028,0.0,0.0267,0.0,0.0845,1
19,8,0.1214,0.0218,0.1603,0.56,0.0002,0.038,63
19,9,0.1436,0.0476,0.1658,0.4215,0.0,0.0327,34
19,10,0.1811,0.0713,0.0987,0.2466,0.0,0.0408,10
19,11,0.2167,0.0626,0.0183,0.1823,0.0,0.0443,10
19,12,0.1842,0.0894,0.1511,0.2554,0.0,0.0541,7
19,13,0.1498,0.0471,0.1058,0.4111,0.0,0.0335,34
19,14,0.1279,0.0272,0.1316,0.4977,0.0,0.0255,50
19,15,0.2889,0.0866,0.0001,0.0629,0.0001,0.0233,3
19,16,0.2439,0.0697,0.0066,0.0469,0.0,0.1642,0
19,17,0.2559,0.0673,0.0155,0.0443,0.0,0.1756,0
19,18,0.2388,0.0819,0.0302,0.0902,0.0,0.1077,0
19,19,0.452,0.0924,0.0,0.0032,0.0,0.2291,0
19,20,0.3136,0.0822,0.0115,0.0425,0.0,0.1626,0
19,21,0.2885,0.0719,0.0109,0.0346,0.0,0.1864,0
19,22,0.3717,0.0765,0.0,0.0055,0.0,0.2406,0
19,23,0.2465,0.0616,0.0127,0.0473,0.0,0.0821,1
19,24,0.3662,0.0927,0.0023,0.0156,0.0,0.1916,0
19,25,0.2302,0.0793,0.0188,0.1209,0.0,0.1382,0
19,26,0.2599,0.0705,0.0106,0.0615,0.0,0.1504,0
19,27,0.4076,0.0919,0.0021,0.0091,0.0,0.1939,0
19,28,0.2337,0.0732,0.0186,0.0884,0.0,0.1249,0
19,29,0.2287,0.0773,0.0285,0.0883,0.0,0.1403,0
19,30,0.3836,0.1001,0.0012,0.0355,0.0003,0.0866,1
19,31,0.261,0.0866,0.0216,0.076,0.0,0.1805,0
20,0,0.2682,0.0855,0.0077,0.0865,0.0,0.0384,1
20,1,0.287,0.0684,0.0015,0.0437,0.0,0.0642,1
20,2,0.2438,0.0584,0.0085,0.0841,0.0,0.0987,1
20,3,0.232,0.0626,0.0069,0.0667,0.0,0.1386,0
20,4,0.2473,0.0802,0.0233,0.0885,0.0,0.0159,2
20,5,0.2315,0.0968,0.0337,0.118,0.0,0.0605,2
20,6,0.2624,0.079,0.001,0.0553,0.0,0.0889,1
20,7,0.3161,0.094,0.0024,0.0444,0.0,0.1194,0
20,8,0.2309,0.0551,0.001,0.1277,0.0,0.0589,1
20,9,0.2631,0.0766,0.0021,0.0603,0.0,0.03,1
20,10,0.4038,0.0794,0.0,0.0005,0.0001,0.265,0
20,11,0.2485,0.1076,0.064,0.1229,0.0,0.0694,1
20,12,0.2683,0.0693,0.0019,0.047,0.0,0.1002,0
20,13,0.3786,0.0682,0.0,0.0054,0.0,0.1462,0
20,14,0.189,0.0362,0.0031,0.2015,0.0,0.0477,3
20,15,0.3529,0.0835,0.0,0.0193,0.0,0.1355,0
20,16,0.3149,0.0635,0.0,0.0486,0.0001,0.0834,2
20,17,0.3057,0.065,0.001,0.0436,0.0,0.1178,0
20,18,0.3405,0.0701,0.0,0.0476,0.0,0.0643,1
20,19,0.2442,0.0758,0.0043,0.1035,0.0,0.0381,2
20,20,0.3324,0.0536,0.0,0.0117,0.0,0.1904,0
20,21,0.3431,0.075,0.0,0.0514,0.0,0.0873,1
20,22,0.3083,0.0595,0.0001,0.0966,0.0001,0.049,1
20,23,0.312,0.0572,0.0,0.048,0.0,0.1048,0
20,24,0.2214,0.0738,0.0087,0.1184,0.0,0.0882,1
20,25,0.3384,0.0703,0.0,0.0495,0.0001,0.0583,1
20,26,0.2459,0.0719,0.0045,0.102,0.0,0.0873,1
20,27,0.2951,0.0735,0.0005,0.0471,0.0,0.109,0
20,28,0.2337,0.0907,0.0092,0.109,0.0,0.1042,0
20,29,0.3066,0.0769,0.0002,0.0412,0.0,0.139,0
20,30,0.4518,0.069,0.0,0.0207,0.0008,0.0858,1
20,31,0.3593,0.0778,0.0,0.0406,0.0001,0.0693,1
21,0,0.3505,0.0681,0.0,0.0353,0.0,0.0888,2
21,1,0.2772,0.0607,0.0014,0.08,0.0,0.0578,1
21,2,0.2507,0.0778,0.0041,0.1052,0.0001,0.0584,3
21,3,0.269,0.0608,0.0067,0.0733,0.0,0.0506,3
21,4,0.2448,0.0902,0.0062,0.1442,0.0,0.0619,2
21,5,0.2439,0.0628,0.0016,0.1104,0.0,0.0482,4
21,6,0.2112,0.1097,0.0605,0.2275,0.0,0.0656,3
21,7,0.257,0.0519,0.0007,0.1239,0.0,0.0727,3
21,8,0.2,0.0817,0.0538,0.2,0.0,0.0501,6
21,9,0.2185,0.0679,0.0113,0.1383,0.0,0.0494,2
21,10,0.3857,0.042,0.0,0.0035,0.0001,0.1416,0
21,11,0.2443,0.066,0.0041,0.093,0.0,0.0817,2
21,12,0.2813,0.0544,0.0,0.1057,0.0001,0.0494,4
21,13,0.1829,0.0398,0.0211,0.2834,0.0,0.0406,16
21,14,0.3621,0.0777,0.0,0.0185,0.0001,0.1489,0
21,15,0.2245,0.0976,0.0218,0.161,0.0001,0.0599,3
21,16,0.2493,0.0949,0.0052,0.0877,0.0,0.085,2
21,17,0.2296,0.0572,0.0033,0.1192,0.0,0.0207,9
21,18,0.2975,0.07,0.0003,0.0807,0.0,0.0735,5
21,19,0.1905,0.0698,0.0671,0.1845,0.0,0.0721,5
21,20,0.2056,0.0486,0.0036,0.1345,0.0,0.0851,3
21,21,0.2354,0.0665,0.0073,0.0825,0.0,0.0924,1
21,22,0.2136,0.0707,0.0084,0.1381,0.0,0.0331,10
21,23,0.2877,0.0718,0.0011,0.0685,0.0006,0.1029,0
21,24,0.2014,0.0615,0.0094,0.1234,0.0,0.0652,2
21,25,0.2557,0.0543,0.0005,0.0726,0.0,0.0759,3
21,26,0.2259,0.0506,0.0044,0.1141,0.0,0.0386,9
21,27,0.3032,0.0581,0.0,0.1055,0.0,0.0169,11
21,28,0.3006,0.0894,0.0,0.0616,0.0,0.0524,3
21,29,0.3224,0.0483,0.0,0.0895,0.0,0.0261,10
21,30,0.392,0.0535,0.0,0.0031,0.0001,0.194,0
21,31,0.2365,0.0645,0.0013,0.0473,0.0,0.0985,1
22,0,0.1953,0.0538,0.0285,0.1579,0.0,0.0401,7
22,1,0.2894,0.0453,0.0,0.0003,0.0,0.2119,0
22,2,0.168,0.0503,0.0813,0.2506,0.0,0.0252,3
22,3,0.228,0.0603,0.0036,0.0825,0.0,0.0933,1
22,4,0.2151,0.0747,0.024,0.1613,0.0003,0.0547,4
22,5,0.1902,0.0904,0.1572,0.2151,0.0,0.0851,1
22,6,0.3417,0.1096,0.0001,0.0178,0.0001,0.0783,1
22,7,0.1842,0.0486,0.0119,0.1923,0.0,0.0434,7
22,8,0.243,0.0677,0.0104,0.0963,0.0,0.0801,4
22,9,0.2178,0.0437,0.0016,0.1473,0.0,0.0596,4
22,10,0.158,0.0725,0.19,0.2964,0.0,0.0436,15
22,11,0.1977,0.0639,0.0392,0.1416,0.0,0.063,5
22,12,0.1631,0.0526,0.1017,0.2874,0.0,0.0691,5
22,13,0.2152,0.0816,0.0285,0.1413,0.0,0.0523,2
22,14,0.1417,0.0463,0.1831,0.3487,0.0,0.0623,14
22,15,0.1617,0.061,0.1234,0.2565,0.0,0.0325,12
22,16,0.1966,0.0615,0.0421,0.1467,0.0,0.0894,1
22,17,0.1982,0.08,0.0821,0.1674,0.0,0.0725,1
22,18,0.2493,0.0582,0.0026,0.0527,0.0,0.08,1
22,19,0.4074,0.0649,0.0,0.0095,0.0005,0.0876,1
22,20,0.1843,0.0519,0.0399,0.1755,0.0,0.0945,2
22,21,0.3535,0.0764,0.0002,0.0252,0.0,0.0596,1
22,22,0.2107,0.0647,0.0305,0.1085,0.0,0.1167,0
22,23,0.2937,0.0763,0.0089,0.06,0.0,0.0444,1
22,24,0.2438,0.0679,0.0143,0.0708,0.0,0.068,2
22,25,0.2074,0.064,0.0406,0.1189,0.0,0.0683,1
22,26,0.2105,0.0653,0.0347,0.1354,0.0,0.0586,3
22,27,0.2164,0.0625,0.02,0.1112,0.0,0.0652,1
22,28,0.2356,0.0575,0.0208,0.072,0.0,0.133,0
22,29,0.2304,0.0486,0.0151,0.087,0.0,0.1171,0
22,30,0.247,0.0698,0.0174,0.0811,0.0,0.0612,2
22,31,0.2572,0.0728,0.0124,0.1147,0.0002,0.1027,0
23,0,0.3076,0.076,0.006,0.0524,0.0,0.14,0
23,1,0.2712,0.0849,0.0143,0.0713,0.0,0.0912,1
23,2,0.252,0.0674,0.0159,0.1418,0.0,0.0251,4
23,3,0.2393,0.0553,0.0203,0.1108,0.0,0.0141,6
23,4,0.2417,0.0832,0.0305,0.0962,0.0,0.1006,0
23,5,0.1706,0.0428,0.0558,0.2691,0.0,0.0191,23
23,6,0.3775,0.0926,0.0011,0.02,0.0,0.1026,0
23,7,0.2598,0.0605,0.0122,0.1532,0.0,0.0479,5
23,8,0.2626,0.0628,0.0151,0.1437,0.0,0.054,5
23,9,0.1895,0.0445,0.0164,0.1225,0.0,0.0842,3
23,10,0.0722,0.0126,0.9815,0.7684,0.0,0.0147,98
23,11,0.3537,0.0553,0.0019,0.0032,0.0,0.1927,0
23,12,0.1503,0.0427,0.0917,0.3145,0.0,0.0421,17
23,13,0.2834,0.0926,0.0144,0.0498,0.0,0.1799,0
23,14,0.2172,0.0461,0.0182,0.1732,0.0,0.0491,10
23,15,0.265,0.0792,0.0168,0.0785,0.0,0.128,0
23,16,0.0557,0.0133,0.9961,0.8608,0.0,0.011,118
23,17,0.2349,0.093,0.0376,0.1262,0.0,0.0775,3
23,18,0.1698,0.0665,0.0945,0.3411,0.0,0.0355,29
23,19,0.1958,0.0783,0.0519,0.166,0.0,0.0876,1
23,20,0.1913,0.0715,0.0711,0.1586,0.0,0.1007,0
23,21,0.0645,0.0131,0.9862,0.8478,0.0,0.0116,115
23,22,0.1868,0.076,0.0862,0.1882,0.0,0.0491,4
23,23,0.2003,0.076,0.0566,0.1282,0.0,0.0678,2
23,24,0.2341,0.071,0.0263,0.0851,0.0,0.0933,1
23,25,0.0449,0.0117,0.9984,0.9103,0.0,0.0111,121
23,26,0.1588,0.0784,0.25,0.3115,0.0,0.072,3
23,27,0.1347,0.0555,0.2791,0.405,0.0,0.035,29
23,28,0.3666,0.0852,0.0036,0.0144,0.0,0.1112,0
23,29,0.2452,0.0998,0.0349,0.104,0.0,0.0822,1
23,30,0.2268,0.0883,0.0466,0.1705,0.0,0.0607,5
23,31,0.1986,0.0886,0.0942,0.2054,0.0,0.0772,2
24,0,0.2181,0.0672,0.011,0.0821,0.0,0.0598,2
24,1,0.6371,0.0779,0.0,0.0,0.0035,0.4687,0
24,2,0.225,0.0656,0.0083,0.0788,0.0,0.1024,0
24,3,0.2188,0.0462,0.0034,0.1153,0.0,0.0341,3
24,4,0.1795,0.0618,0.0396,0.1964,0.0,0.0882,1
24,5,0.1575,0.0376,0.0419,0.3485,0.0,0.0219,20
24,6,0.2408,0.0985,0.0505,0.1009,0.0,0.1084,0
24,7,0.1848,0.0384,0.0123,0.2541,0.0,0.0561,14
24,8,0.1689,0.0454,0.0304,0.2399,0.0,0.0434,10
24,9,0.1551,0.0384,0.0783,0.3028,0.0,0.0723,8
24,10,0.2865,0.0975,0.0096,0.0641,0.0,0.0602,1
24,11,0.1898,0.0415,0.0185,0.1943,0.0,0.0352,8
24,12,0.2183,0.0503,0.0013,0.1175,0.0,0.0349,2
24,13,0.2062,0.0596,0.0087,0.0905,0.0001,0.0559,1
24,14,0.1948,0.0485,0.0208,0.1567,0.0,0.0949,4
24,15,0.2047,0.0679,0.0581,0.1702,0.0,0.0901,2
24,16,0.3087,0.0581,0.0001,0.0107,0.0,0.1747,0
24,17,0.2621,0.0777,0.0073,0.0464,0.0,0.1411,0
24,18,0.221,0.088,0.0593,0.1162,0.0,0.1434,0
24,19,0.5455,0.0773,0.0,0.0,0.0001,0.3948,0
24,20,0.2118,0.0901,0.06,0.128,0.0,0.1317,0
24,21,0.2299,0.053,0.0067,0.0497,0.0,0.1419,0
24,22,0.3089,0.085,0.0009,0.0275,0.0,0.1768,0
24,23,0.2662,0.0806,0.0064,0.0401,0.0,0.1719,0
24,24,0.27,0.0808,0.0033,0.0296,0.0,0.1599,0
24,25,0.2223,0.0684,0.0114,0.0722,0.0,0.1314,0
24,26,0.3167,0.081,0.0003,0.0143,0.0,0.1814,0
24,27,0.2284,0.0801,0.024,0.0799,0.0,0.168,0
24,28,0.2316,0.071,0.0129,0.0792,0.0,0.1331,0
24,29,0.2611,0.0922,0.0091,0.0564,0.0,0.1244,0
24,30,0.3016,0.0897,0.0005,0.034,0.0,0.1794,0
24,31,0.3101,0.0878,0.0012,0.0273,0.0,0.1882,0
25,0,0.1723,0.0501,0.0462,0.2755,0.0,0.0384,12
25,1,0.3635,0.105,0.0001,0.0183,0.0002,0.1491,0
25,2,0.2241,0.0882,0.028,0.1225,0.0,0.0651,3
25,3,0.0998,0.0269,0.5462,0.6206,0.0,0.0345,71
25,4,0.2043,0.0478,0.0101,0.1635,0.0,0.0666,6
25,5,0.2689,0.0679,0.0063,0.0744,0.0,0.0627,3
25,6,0.2296,0.0545,0.0028,0.1317,0.0,0.0413,7
25,7,0.2205,0.0666,0.0123,0.107,0.0,0.0703,3
25,8,0.1788,0.0652,0.095,0.2554,0.0,0.0131,12
25,9,0.1939,0.1093,0.1341,0.2362,0.0001,0.089,1
25,10,0.2431,0.0524,0.0017,0.0488,0.0,0.088,1
25,11,0.1677,0.0829,0.2288,0.3144,0.0,0.0763,5
25,12,0.3542,0.0502,0.0,0.0001,0.0,0.2242,0
25,13,0.282,0.0843,0.003,0.0524,0.0,0.1106,0
25,14,0.3395,0.0754,0.0003,0.0517,0.0,0.082,3
25,15,0.1999,0.0628,0.0324,0.1448,0.0,0.0678,3
25,16,0.2158,0.0882,0.0464,0.097,0.0,0.1603,0
25,17,0.2523,0.081,0.0178,0.0587,0.0,0.1209,0
25,18,0.2546,0.0987,0.0378,0.0782,0.0,0.1796,0
25,19,0.2572,0.0837,0.0232,0.0502,0.0,0.1827,0
25,20,0.2152,0.1028,0.0893,0.1292,0.0,0.1697,0
25,21,0.3816,0.1186,0.0003,0.0084,0.0001,0.2409,0
25,22,0.2669,0.0894,0.0234,0.0543,0.0,0.1873,0
25,23,0.2432,0.0823,0.0262,0.0621,0.0,0.1788,0
25,24,0.2426,0.0855,0.0219,0.0705,0.0,0.1087,0
25,25,0.2226,0.0868,0.0659,0.116,0.0,0.1506,0
25,26,0.2579,0.0764,0.0158,0.046,0.0,0.1236,0
25,27,0.1741,0.0536,0.0718,0.1692,0.0,0.1204,0
25,28,0.3409,0.066,0.0,0.0004,0.0,0.2714,0
25,29,0.1801,0.0744,0.1283,0.1964,0.0,0.1311,0
25,30,0.2075,0.0671,0.038,0.1109,0.0,0.1359,0
25,31,0.2069,0.069,0.0261,0.1075,0.0,0.1057,0
26,0,0.2285,0.0756,0.0224,0.1492,0.0,0.0876,1
26,1,0.2259,0.0622,0.0072,0.0747,0.0,0.1175,0
26,2,0.213,0.0763,0.0409,0.1343,0.0,0.1229,0
26,3,0.2648,0.0719,0.012,0.0559,0.0,0.1583,0
26,4,0.2969,0.0587,0.0004,0.0343,0.0,0.1394,0
26,5,0.4228,0.0642,0.0,0.001,0.0,0.2266,0
26,6,0.3008,0.0935,0.0079,0.0481,0.0,0.1633,0
26,7,0.2805,0.0623,0.0041,0.0363,0.0,0.111,0
26,8,0.2302,0.0748,0.0267,0.1507,0.0,0.0616,1
26,9,0.3244,0.0684,0.0043,0.0254,0.0,0.1609,0
26,10,0.2362,0.0526,0.0079,0.1229,0.0,0.1097,0
26,11,0.298,0.0651,0.0014,0.0494,0.0,0.1257,0
26,12,0.2652,0.07,0.0091,0.0478,0.0,0.1102,0
26,13,0.4071,0.0873,0.0,0.0143,0.0001,0.1656,0
26,14,0.2193,0.0607,0.0294,0.1286,0.0,0.0831,1
26,15,0.2656,0.0701,0.0065,0.0507,0.0,0.1383,0
26,16,0.217,0.076,0.0223,0.1254,0.0,0.0684,2
26,17,0.303,0.0694,0.0001,0.0698,0.0,0.03,4
26,18,0.2845,0.058,0.0,0.0406,0.0,0.1364,0
26,19,0.2735,0.0614,0.001,0.0682,0.0,0.0621,3
26,20,0.2747,0.0585,0.0003,0.0651,0.0,0.0275,2
26,21,0.2611,0.0687,0.0109,0.0816,0.0,0.0641,3
26,22,0.2932,0.0655,0.0011,0.0561,0.0,0.0697,3
26,23,0.3125,0.0645,0.0001,0.0431,0.0,0.1031,0
26,24,0.1959,0.0722,0.0648,0.2508,0.0,0.0493,5
26,25,0.3448,0.0671,0.0007,0.0234,0.0,0.0972,1
26,26,0.3171,0.0874,0.0004,0.0261,0.0,0.0951,1
26,27,0.323,0.0609,0.0,0.0361,0.0,0.0334,2
26,28,0.2469,0.0847,0.0123,0.0916,0.0,0.0744,1
26,29,0.4847,0.0371,0.0,0.0002,0.0004,0.3063,0
26,30,0.2561,0.0784,0.0012,0.0654,0.0,0.0708,3
26,31,0.2436,0.0735,0.0055,0.1099,0.0,0.0629,3
27,0,0.0475,0.0103,0.9999,0.8902,0.0,0.0071,117
27,1,0.2101,0.08,0.0688,0.2048,0.0,0.0457,8
27,2,0.3566,0.0981,0.001,0.0179,0.0,0.0793,2
27,3,0.1723,0.0514,0.0599,0.1741,0.0,0.0665,2
27,4,0.1215,0.0563,0.4141,0.4621,0.0,0.0306,20
27,5,0.1726,0.0716,0.1386,0.2596,0.0,0.047,14
27,6,0.1578,0.0631,0.1678,0.2605,0.0,0.0823,4
27,7,0.1679,0.0825,0.2043,0.2769,0.0,0.071,5
27,8,0.1764,0.0823,0.1925,0.2446,0.0,0.0609,2
27,9,0.1469,0.0548,0.1852,0.2935,0.0,0.0614,4
27,10,0.2026,0.0796,0.0598,0.1383,0.0,0.0689,2
27,11,0.1706,0.0703,0.1558,0.231,0.0,0.043,2
27,12,0.1456,0.0502,0.1882,0.3088,0.0,0.0362,15
27,13,0.1121,0.0355,0.3848,0.5291,0.0,0.0186,48
27,14,0.2072,0.0864,0.0655,0.1429,0.0,0.0533,2
27,15,0.2158,0.0837,0.0576,0.1183,0.0,0.0962,1
27,16,0.2256,0.0686,0.0287,0.0749,0.0,0.0645,1
27,17,0.1519,0.0349,0.0655,0.2428,0.0,0.0467,13
27,18,0.25,0.0881,0.0405,0.0898,0.0,0.1098,0
27,19,0.0897,0.0201,0.6934,0.6715,0.0,0.0203,82
27,20,0.2043,0.078,0.0702,0.133,0.0,0.1246,0
27,21,0.3904,0.1151,0.0011,0.008,0.0,0.1333,0
27,22,0.0695,0.0121,0.9866,0.7871,0.0,0.0132,105
27,23,0.0602,0.0117,0.9941,0.8276,0.0,0.0119,108
27,24,0.0779,0.0129,0.9533,0.7481,0.0,0.0132,99
27,25,0.054,0.0079,1.0,0.9017,0.0,0.0166,120
27,26,0.1569,0.0554,0.1496,0.3411,0.0,0.029,30
27,27,0.0761,0.015,0.9355,0.7658,0.0,0.0146,103
27,28,0.1367,0.0462,0.2351,0.3704,0.0,0.0098,25
27,29,0.2132,0.0869,0.0781,0.143,0.0,0.0975,1
27,30,0.2327,0.0906,0.0666,0.1103,0.0,0.114,0
27,31,0.174,0.0677,0.114,0.2172,0.0,0.0853,2
28,0,0.2267,0.0705,0.0199,0.0878,0.0,0.0614,1
28,1,0.2222,0.068,0.0257,0.0892,0.0,0.0463,1
28,2,0.2561,0.1068,0.041,0.0922,0.0,0.0665,1
28,3,0.2225,0.0615,0.0128,0.1083,0.0,0.0982,1
28,4,0.1615,0.0677,0.1691,0.2716,0.0,0.0849,2
28,5,0.1821,0.0742,0.1029,0.2065,0.0,0.0979,1
28,6,0.2164,0.0647,0.0147,0.0927,0.0,0.0941,1
28,7,0.24,0.0864,0.0129,0.071,0.0,0.1085,0
28,8,0.1984,0.0507,0.0219,0.1237,0.0,0.1047,0
28,9,0.2072,0.0687,0.0429,0.112,0.0,0.114,0
28,10,0.2784,0.0693,0.0002,0.0219,0.0,0.067,1
28,11,0.1991,0.0642,0.0282,0.13,0.0,0.1023,0
28,12,0.5114,0.0718,0.0,0.0001,0.0,0.259,0
28,13,0.2067,0.0693,0.0211,0.1227,0.0,0.0566,2
28,14,0.2376,0.089,0.0392,0.0857,0.0,0.0996,1
28,15,0.1918,0.0761,0.1021,0.1886,0.0,0.1105,0
28,16,0.2016,0.0736,0.0303,0.139,0.0,0.0982,1
28,17,0.3575,0.0503,0.0,0.0023,0.0,0.2256,0
28,18,0.2253,0.0775,0.0034,0.0929,0.0,0.1126,0
28,19,0.2555,0.0578,0.0027,0.0626,0.0,0.1014,0
28,20,0.2247,0.0702,0.0065,0.1071,0.0,0.0976,1
28,21,0.1898,0.0436,0.0057,0.1631,0.0,0.0794,1
28,22,0.2305,0.0649,0.0023,0.1031,0.0,0.0997,1
28,23,0.319,0.0794,0.0,0.0246,0.0,0.1442,0
28,24,0.1769,0.0608,0.0501,0.2138,0.0,0.0961,3
28,25,0.1946,0.0469,0.0179,0.1642,0.0,0.0628,3
28,26,0.2269,0.0755,0.0287,0.1024,0.0,0.1095,0
28,27,0.3105,0.0469,0.0,0.0146,0.0,0.1051,0
28,28,0.1673,0.0465,0.0506,0.26,0.0,0.0722,7
28,29,0.2337,0.0734,0.0041,0.0669,0.0,0.1044,0
28,30,0.2725,0.0835,0.0017,0.0456,0.0,0.1205,0
28,31,0.2956,0.0619,0.0009,0.0283,0.0,0.1375,0
29,0,0.2399,0.0871,0.0173,0.1173,0.0,0.0495,5
29,1,0.2156,0.0763,0.054,0.1486,0.0,0.0699,4
29,2,0.238,0.081,0.0094,0.0826,0.0,0.0645,4
29,3,0.2689,0.0821,0.0092,0.0908,0.0,0.0608,3
29,4,0.2616,0.0794,0.01,0.102,0.0,0.0291,7
29,5,0.4437,0.0529,0.0,0.0004,0.0,0.2232,0
29,6,0.2433,0.0687,0.0107,0.0849,0.0,0.0649,2
29,7,0.3128,0.0869,0.0016,0.052,0.0,0.0573,3
29,8,0.2637,0.0843,0.0036,0.0415,0.0,0.0819,1
29,9,0.2008,0.0696,0.0328,0.1545,0.0,0.0378,5
29,10,0.224,0.0658,0.0144,0.1248,0.0,0.0658,5
29,11,0.3171,0.0832,0.0011,0.0547,0.0,0.0798,3
29,12,0.3057,0.0755,0.0024,0.0573,0.0,0.0885,2
29,13,0.2133,0.0608,0.0079,0.1015,0.0,0.0521,5
29,14,0.2268,0.0776,0.0064,0.1063,0.0,0.0716,3
29,15,0.242,0.0929,0.0246,0.1041,0.0,0.0642,3
29,16,0.3646,0.0797,0.0,0.0244,0.0,0.1127,0
29,17,0.2868,0.0705,0.0013,0.0537,0.0,0.0568,1
29,18,0.2785,0.0872,0.0041,0.0684,0.0,0.1366,0
29,19,0.296,0.0793,0.0017,0.0454,0.0,0.1312,0
29,20,0.3049,0.087,0.0008,0.0604,0.0,0.0835,1
29,21,0.2349,0.0709,0.0033,0.0688,0.0,0.0852,1
29,22,0.3338,0.0404,0.0,0.0212,0.0,0.1343,0
29,23,0.2663,0.0628,0.002,0.054,0.0,0.1105,0
29,24,0.2434,0.0477,0.0019,0.0884,0.0,0.085,2
29,25,0.3102,0.0588,0.0001,0.0478,0.0,0.0521,1
29,26,0.2702,0.0563,0.0011,0.0901,0.0,0.048,5
29,27,0.26,0.0675,0.0011,0.0413,0.0,0.1387,0
29,28,0.2135,0.043,0.008,0.1573,0.0,0.0721,3
29,29,0.3857,0.0413,0.0,0.0114,0.0003,0.0194,1
29,30,0.234,0.0494,0.0004,0.0778,0.0,0.0514,1
29,31,0.2099,0.0815,0.0261,0.1835,0.0,0.0671,2
30,0,0.1589,0.0549,0.1136,0.3047,0.0,0.0763,12
30,1,0.2215,0.0716,0.0105,0.1486,0.0,0.0535,5
30,2,0.4984,0.0357,0.0,0.0002,0.0076,0.3184,0
30,3,0.2406,0.0791,0.008,0.1101,0.0001,0.0652,1
30,4,0.188,0.0527,0.0345,0.2365,0.0,0.0315,16
30,5,0.1618,0.0591,0.1021,0.2872,0.0,0.0375,19
30,6,0.2286,0.1059,0.0506,0.1279,0.0,0.0342,2
30,7,0.1755,0.05,0.0228,0.2458,0.0,0.0432,15
30,8,0.3232,0.0939,0.0017,0.0803,0.0,0.1082,0
30,9,0.1511,0.0655,0.2164,0.3592,0.0,0.0499,23
30,10,0.2025,0.05,0.0086,0.2359,0.0,0.0358,25
30,11,0.1632,0.1003,0.3144,0.3939,0.0,0.0141,10
30,12,0.1694,0.047,0.0175,0.2226,0.0,0.0359,14
30,13,0.1916,0.0485,0.0017,0.2091,0.0,0.0444,8
30,14,0.163,0.0491,0.0629,0.2658,0.0,0.0376,13
30,15,0.1841,0.1072,0.202,0.2907,0.0,0.0614,6
30,16,0.2848,0.063,0.0004,0.1709,0.0,0.0515,14
30,17,0.2234,0.0608,0.0064,0.2407,0.0,0.0535,15
30,18,0.2177,0.0511,0.0063,0.3004,0.0,0.017,37
30,19,0.2935,0.056,0.0001,0.0355,0.0,0.0686,2
30,20,0.174,0.0652,0.0944,0.2202,0.0,0.0199,7
30,21,0.2368,0.0506,0.0042,0.1202,0.0,0.0369,7
30,22,0.265,0.0576,0.0006,0.1272,0.0,0.0332,10
