layer,head,openness,switchiness,frac_closed,ch_lo_frac,ch_hi_frac,min_ch_mean,n_ch_mean_lt_01
9,0,0.1242,0.0478,0.3662,0.5528,0.0,0.0189,45
9,1,0.1302,0.0387,0.2157,0.4886,0.0001,0.0381,23
9,2,0.1814,0.0893,0.0961,0.3674,0.0006,0.0109,20
9,3,0.1461,0.0586,0.2056,0.4449,0.0,0.0125,34
9,4,0.1159,0.0863,0.6109,0.6232,0.0003,0.0123,37
9,5,0.1032,0.0485,0.5945,0.6391,0.0,0.0092,68
9,6,0.0953,0.0421,0.6354,0.6725,0.0,0.0144,80
9,7,0.1155,0.0501,0.499,0.5597,0.0,0.0128,46
9,8,0.2975,0.0433,0.0,0.1269,0.0017,0.033,10
9,9,0.083,0.0385,0.783,0.7348,0.0,0.0067,101
9,10,0.3486,0.0846,0.0,0.1062,0.003,0.0354,7
9,11,0.1356,0.0482,0.2422,0.4643,0.0,0.0147,14
9,12,0.1479,0.0495,0.1485,0.4042,0.0,0.0368,28
9,13,0.25,0.0782,0.0077,0.194,0.001,0.0166,11
9,14,0.1364,0.0398,0.1724,0.4584,0.0,0.0133,22
9,15,0.1934,0.0711,0.0431,0.308,0.0006,0.0076,19
9,16,0.2024,0.0701,0.0589,0.3103,0.0,0.022,26
9,17,0.2683,0.0705,0.0034,0.2479,0.0025,0.0266,8
9,18,0.4486,0.051,0.0,0.0478,0.007,0.0178,4
9,19,0.1901,0.0732,0.0854,0.3497,0.0004,0.0359,21
9,20,0.2337,0.0602,0.0052,0.2347,0.0003,0.0096,17
9,21,0.2654,0.0763,0.0059,0.1778,0.0012,0.0365,9
9,22,0.1446,0.0332,0.0676,0.4516,0.0002,0.0322,31
9,23,0.4412,0.1221,0.0009,0.076,0.0188,0.0301,4
9,24,0.2396,0.0894,0.0124,0.2496,0.0012,0.0173,12
9,25,0.1662,0.1247,0.3997,0.4796,0.001,0.0037,13
9,26,0.1709,0.064,0.1167,0.3947,0.0002,0.0119,21
9,27,0.2343,0.0457,0.0016,0.2887,0.0008,0.0201,22
9,28,0.1365,0.0587,0.2796,0.4879,0.0007,0.0166,41
9,29,0.1356,0.0574,0.2906,0.5558,0.001,0.0184,48
9,30,0.1582,0.1025,0.3515,0.5155,0.0013,0.0136,36
9,31,0.188,0.0707,0.0907,0.3704,0.0002,0.0184,22
10,0,0.1077,0.0785,0.6342,0.666,0.0001,0.023,59
10,1,0.1517,0.0689,0.2461,0.3902,0.0,0.0223,16
10,2,0.2716,0.0429,0.0001,0.0701,0.0015,0.0621,4
10,3,0.078,0.0367,0.808,0.7655,0.0,0.0117,107
10,4,0.1231,0.0608,0.4104,0.5139,0.0,0.0352,34
10,5,0.1123,0.0363,0.4298,0.5614,0.0,0.0205,45
10,6,0.1525,0.0567,0.1607,0.3855,0.0001,0.0513,27
10,7,0.1444,0.0594,0.2285,0.4009,0.0,0.0155,10
10,8,0.1419,0.084,0.3901,0.4572,0.0004,0.0337,15
10,9,0.1271,0.0668,0.4446,0.528,0.0,0.0165,32
10,10,0.0922,0.0418,0.6689,0.6927,0.0,0.0134,75
10,11,0.1407,0.0472,0.1814,0.409,0.0,0.0342,23
10,12,0.1354,0.0653,0.3584,0.468,0.0,0.0176,25
10,13,0.1332,0.0572,0.3518,0.4955,0.0002,0.0376,32
10,14,0.1902,0.0614,0.059,0.2734,0.0002,0.0556,12
10,15,0.1589,0.0529,0.1201,0.3623,0.0,0.0333,24
10,16,0.143,0.0487,0.1866,0.4769,0.0003,0.0124,36
10,17,0.2081,0.0853,0.0621,0.3119,0.0018,0.0119,14
10,18,0.0803,0.0281,0.8211,0.7537,0.0,0.0167,97
10,19,0.1304,0.0544,0.2503,0.5506,0.0002,0.0099,56
10,20,0.3097,0.0566,0.0,0.0682,0.0,0.0149,2
10,21,0.1638,0.0349,0.0476,0.4699,0.0002,0.0136,47
10,22,0.1624,0.0556,0.0956,0.428,0.0003,0.0222,39
10,23,0.0509,0.016,0.987,0.8966,0.0,0.0178,124
10,24,0.1196,0.0678,0.4862,0.5547,0.0004,0.0174,42
10,25,0.1055,0.0458,0.5786,0.6128,0.0001,0.0219,54
10,26,0.1046,0.0232,0.4788,0.6244,0.0006,0.0098,75
10,27,0.0862,0.0424,0.7501,0.7218,0.0,0.0192,88
10,28,0.1339,0.0356,0.1275,0.524,0.0002,0.0276,54
10,29,0.1083,0.0298,0.449,0.5825,0.0,0.0214,47
10,30,0.2124,0.0915,0.1069,0.393,0.0035,0.0164,33
10,31,0.1307,0.0343,0.1812,0.4737,0.0,0.0117,31
11,0,0.0489,0.0159,0.9907,0.8779,0.0,0.0075,113
11,1,0.0386,0.0205,0.9813,0.9072,0.0,0.0059,119
11,2,0.0867,0.0221,0.7677,0.6976,0.0,0.0086,84
11,3,0.0578,0.0289,0.9148,0.8547,0.0,0.0107,120
11,4,0.1142,0.056,0.5096,0.5553,0.0,0.0338,49
11,5,0.0436,0.0103,0.9986,0.8658,0.0,0.0048,112
11,6,0.0381,0.0121,0.9967,0.9271,0.0,0.0081,125
11,7,0.0439,0.0156,0.9921,0.9121,0.0,0.0101,118
11,8,0.0662,0.0155,0.9778,0.7971,0.0,0.0082,99
11,9,0.1386,0.0625,0.3158,0.4408,0.0,0.017,25
11,10,0.0371,0.0129,0.9969,0.9255,0.0,0.0053,121
11,11,0.0773,0.0319,0.8423,0.7554,0.0001,0.0049,97
11,12,0.05,0.0153,0.9935,0.8853,0.0,0.0115,116
11,13,0.0538,0.0225,0.9538,0.8934,0.0,0.0101,122
11,14,0.0837,0.0602,0.7685,0.7533,0.0,0.0101,93
11,15,0.0405,0.0094,0.9968,0.9406,0.0009,0.0116,125
11,16,0.1124,0.0365,0.4215,0.5413,0.0,0.0133,45
11,17,0.0428,0.0171,0.9898,0.9137,0.0,0.0088,121
11,18,0.1122,0.0359,0.4053,0.5679,0.0,0.0276,53
11,19,0.0793,0.0232,0.8292,0.7392,0.0,0.0099,91
11,20,0.1413,0.1011,0.3901,0.515,0.0032,0.0137,38
11,21,0.1242,0.0423,0.2969,0.538,0.0,0.0081,51
11,22,0.0542,0.014,0.9916,0.8602,0.0001,0.0107,111
11,23,0.0863,0.0225,0.7472,0.7313,0.0,0.0119,90
11,24,0.0896,0.0388,0.6987,0.7082,0.0,0.014,83
11,25,0.0989,0.0309,0.5987,0.6551,0.0001,0.0111,77
11,26,0.0961,0.0336,0.5956,0.6976,0.0002,0.0097,84
11,27,0.2012,0.0728,0.0344,0.3065,0.0007,0.0142,25
11,28,0.0811,0.0264,0.7667,0.7538,0.0001,0.0081,86
11,29,0.147,0.0707,0.3063,0.549,0.0002,0.016,54
11,30,0.121,0.0412,0.3353,0.5712,0.0002,0.013,50
11,31,0.1127,0.0389,0.4269,0.6059,0.0,0.008,67
12,0,0.2008,0.0514,0.0138,0.4205,0.0012,0.0151,37
12,1,0.0951,0.0436,0.6703,0.6902,0.0004,0.0225,73
12,2,0.099,0.0228,0.55,0.7275,0.0005,0.0151,93
12,3,0.1322,0.0515,0.2968,0.4866,0.0,0.0108,39
12,4,0.1249,0.0493,0.3461,0.518,0.0,0.0079,44
12,5,0.1138,0.0377,0.4086,0.5629,0.0001,0.0178,51
12,6,0.1279,0.0744,0.4687,0.5935,0.001,0.0314,45
12,7,0.1103,0.038,0.4484,0.6301,0.0,0.0249,73
12,8,0.1687,0.0621,0.1627,0.4547,0.0003,0.012,37
12,9,0.1231,0.0315,0.2362,0.5455,0.0,0.0135,56
12,10,0.1423,0.0248,0.0521,0.559,0.0009,0.0093,65
