layer,matrix,head,kv_group,sigma1,stable_rank,er99,er999,head_rms_raw,exact
22,QK,14,0,1.7081559896469116,5.889,97,118,,0
22,QK,15,0,1.1369354724884033,9.062,107,122,,0
22,QK,16,1,1.1688871383666992,21.767,97,114,,0
22,QK,17,1,1.0276509523391724,26.359,106,119,,0
22,QK,18,1,0.920186460018158,29.973,101,116,,0
22,QK,19,1,0.8780369758605957,21.799,107,120,,0
22,QK,20,1,1.062954068183899,24.827,98,115,,0
22,QK,21,1,1.0209418535232544,20.53,105,119,,0
22,QK,22,1,1.012524127960205,27.683,101,116,,0
22,QK,23,1,1.0523066520690918,23.79,99,114,,0
22,QK,24,1,0.9816139340400696,29.644,104,118,,0
22,QK,25,1,1.0820846557617188,25.001,103,118,,0
22,QK,26,1,0.9537970423698425,32.242,102,116,,0
22,QK,27,1,1.04334557056427,24.755,106,119,,0
22,QK,28,1,1.0259008407592773,27.002,102,117,,0
22,QK,29,1,1.0127184391021729,22.215,108,120,,0
22,QK,30,1,1.0643166303634644,25.278,100,115,,0
22,QK,31,1,1.0604476928710938,21.767,109,121,,0
22,V,0,0,0.9054729342460632,64.792,125,128,6.076604e-03,
22,V,1,1,0.870122492313385,72.186,124,128,6.181755e-03,
22,VO,0,0,0.5773423314094543,41.491,123,127,,
22,VO,1,0,0.453838974237442,52.06,123,127,,
22,VO,2,0,0.5299971699714661,54.842,123,127,,
22,VO,3,0,0.5235288143157959,48.039,123,127,,
22,VO,4,0,0.6143215894699097,35.716,123,127,,
22,VO,5,0,0.4328658878803253,69.113,123,127,,
22,VO,6,0,0.6162778735160828,44.223,123,127,,
22,VO,7,0,0.6452651619911194,37.156,122,127,,
22,VO,8,0,0.6118223667144775,36.564,123,127,,
22,VO,9,0,0.7373796701431274,28.586,122,127,,
22,VO,10,0,0.49085208773612976,53.997,123,127,,
22,VO,11,0,0.4662728011608124,59.484,123,127,,
22,VO,12,0,0.6091204285621643,38.883,122,127,,
