layer,matrix,head,kv_group,sigma1,stable_rank,er99,er999,head_rms_raw,exact
0,VO,0,0,0.10625936090946198,12.051,119,126,,
0,VO,1,0,0.06199279800057411,47.999,124,127,,
0,VO,2,0,0.06220417842268944,37.775,122,127,,
0,VO,3,0,0.10759544372558594,8.461,119,126,,
0,VO,4,1,0.08734389394521713,12.364,120,126,,
0,VO,5,1,0.04802889749407768,47.491,119,125,,
0,VO,6,1,0.0840320959687233,11.7,119,126,,
0,VO,7,1,0.0823332667350769,11.792,119,126,,
0,VO,8,2,0.05298502370715141,61.711,123,127,,
0,VO,9,2,0.044744256883859634,50.653,123,127,,
0,VO,10,2,0.07747863233089447,12.051,124,127,,
0,VO,11,2,0.08002770692110062,11.203,124,127,,
0,VO,12,3,0.05260911211371422,61.991,125,128,,
0,VO,13,3,0.08417881280183792,15.392,124,127,,
0,VO,14,3,0.08279383182525635,17.108,124,127,,
0,VO,15,3,0.04537004977464676,48.743,125,128,,
0,VO,16,4,0.09142670035362244,20.367,122,126,,
0,VO,17,4,0.08674076944589615,26.734,121,126,,
0,VO,18,4,0.047701261937618256,50.751,122,126,,
0,VO,19,4,0.08530732244253159,20.137,122,127,,
0,VO,20,5,0.0770021304488182,24.909,124,128,,
0,VO,21,5,0.04290052875876427,61.785,125,128,,
0,VO,22,5,0.04357030987739563,38.653,125,128,,
0,VO,23,5,0.07615087926387787,14.015,125,128,,
0,VO,24,6,0.06992410868406296,22.255,122,127,,
0,VO,25,6,0.08303546905517578,9.936,120,127,,
0,VO,26,6,0.05059834197163582,32.043,121,127,,
0,VO,27,6,0.09999377280473709,14.044,116,126,,
0,VO,28,7,0.048620451241731644,41.853,124,126,,
0,VO,29,7,0.06535112112760544,23.725,124,127,,
0,VO,30,7,0.08330599218606949,17.399,123,126,,
0,VO,31,7,0.08754626661539078,13.675,123,127,,
1,Q,0,0,0.1723153442144394,9.131,120,127,2.443389e-02,
1,Q,1,0,0.12101998925209045,15.528,122,127,2.395043e-02,
1,Q,2,0,0.11197245866060257,20.757,123,128,2.538206e-02,
1,Q,3,0,0.1284262239933014,15.166,121,127,2.426644e-02,
1,Q,4,1,0.23000745475292206,4.222,113,124,2.088396e-02,
1,Q,5,1,0.15586984157562256,11.306,118,126,2.504065e-02,
1,Q,6,1,0.14381836354732513,11.311,120,127,2.313802e-02,
1,Q,7,1,0.2096783071756363,6.272,115,125,2.361075e-02,
1,Q,8,2,0.12945552170276642,13.905,120,127,2.330521e-02,
1,Q,9,2,0.12097733467817307,17.709,122,128,2.502182e-02,
1,Q,10,2,0.13843095302581787,11.056,121,126,2.148955e-02,
1,Q,11,2,0.14472392201423645,10.095,122,127,2.148436e-02,
1,Q,12,3,0.17421692609786987,8.487,120,126,2.443904e-02,
1,Q,13,3,0.18507800996303558,7.653,119,126,2.497381e-02,
1,Q,14,3,0.12585288286209106,15.136,120,126,2.318854e-02,
1,Q,15,3,0.18557937443256378,8.291,119,127,2.499281e-02,
1,Q,16,4,0.18810904026031494,6.725,115,125,2.251891e-02,
1,Q,17,4,0.19208835065364838,5.554,117,125,1.937526e-02,
1,Q,18,4,0.15276330709457397,10.302,118,126,2.195569e-02,
1,Q,19,4,0.1316739171743393,14.716,116,125,2.393313e-02,
1,Q,20,5,0.13412198424339294,13.938,121,127,2.372302e-02,
1,Q,21,5,0.186612069606781,7.717,117,126,2.242677e-02,
1,Q,22,5,0.1396692842245102,13.292,121,127,2.389808e-02,
1,Q,23,5,0.15395621955394745,9.331,120,127,2.217400e-02,
1,Q,24,6,0.24708952009677887,4.344,115,125,2.003927e-02,
1,Q,25,6,0.22394001483917236,4.701,113,124,2.051896e-02,
1,Q,26,6,0.15015779435634613,9.868,116,126,2.132338e-02,
1,Q,27,6,0.16768838465213776,7.668,117,126,2.028448e-02,
1,Q,28,7,0.1956699788570404,7.27,121,127,2.373066e-02,
1,Q,29,7,0.1848212033510208,7.032,108,124,2.150842e-02,
1,Q,30,7,0.20204108953475952,6.72,110,124,2.304581e-02,
1,Q,31,7,0.12291677296161652,17.851,118,126,2.373840e-02,
1,K,0,0,0.12145047634840012,19.302,123,128,2.673189e-02,
1,K,1,1,0.15398943424224854,10.375,121,127,2.423316e-02,
1,K,2,2,0.16538292169570923,10.873,122,128,2.623571e-02,
1,K,3,3,0.1040433868765831,23.848,123,128,2.564308e-02,
1,K,4,4,0.11813834309577942,18.516,121,128,2.477179e-02,
1,K,5,5,0.15579746663570404,12.076,121,127,2.555409e-02,
1,K,6,6,0.20377156138420105,5.722,117,126,2.319513e-02,
1,K,7,7,0.08668842911720276,35.648,119,127,2.461387e-02,
1,V,0,0,0.05916197597980499,87.879,126,128,2.965846e-02,
1,V,1,1,0.0646497830748558,58.082,126,128,2.535902e-02,
1,V,2,2,0.065497025847435,69.44,126,128,2.923578e-02,
1,V,3,3,0.06346938759088516,86.133,126,128,3.069464e-02,
1,V,4,4,0.07833582907915115,37.156,125,128,2.425937e-02,
1,V,5,5,0.06216037645936012,58.813,126,128,2.545240e-02,
1,V,6,6,0.10170556604862213,26.747,125,128,2.689857e-02,
1,V,7,7,0.065086230635643,42.837,125,128,2.157192e-02,
1,O,0,0,2.648773431777954,48.643,125,128,2.551325e-02,
1,O,1,0,2.6850318908691406,55.044,126,128,2.751161e-02,
1,O,2,0,3.101548194885254,43.466,126,128,2.824009e-02,
1,O,3,0,2.642641305923462,54.259,126,128,2.688333e-02,
1,O,4,1,3.011448383331299,36.471,124,128,2.511665e-02,
1,O,5,1,3.5952303409576416,25.607,124,128,2.512564e-02,
1,O,6,1,3.247781276702881,33.673,124,128,2.602777e-02,
1,O,7,1,2.5784425735473633,44.351,124,128,2.371479e-02,
1,O,8,2,2.9131526947021484,43.807,125,128,2.662839e-02,
1,O,9,2,3.088791608810425,37.766,124,128,2.621499e-02,
1,O,10,2,3.0158703327178955,34.473,123,128,2.445466e-02,
1,O,11,2,3.028716802597046,37.957,124,128,2.576998e-02,
1,O,12,3,2.520617961883545,62.915,125,128,2.761183e-02,
1,O,13,3,2.7120280265808105,59.474,125,128,2.888477e-02,
1,O,14,3,3.0176949501037598,39.662,125,128,2.624667e-02,
1,O,15,3,2.4279510974884033,77.163,125,128,2.945472e-02,
1,O,16,4,2.9757721424102783,29.504,124,127,2.232304e-02,
1,O,17,4,3.962287425994873,18.836,122,127,2.374942e-02,
1,O,18,4,3.128382682800293,29.687,123,127,2.354056e-02,
1,O,19,4,3.4257848262786865,24.913,124,127,2.361456e-02,
1,O,20,5,3.373162031173706,25.861,124,128,2.369017e-02,
1,O,21,5,2.7338945865631104,41.829,124,128,2.441913e-02,
1,O,22,5,2.979632616043091,38.357,125,128,2.548576e-02,
